Date,Time,Open,High,Low,Close,Volume
2012.01.20,00:00,1.54860,1.55770,1.54500,1.55740,79844
2012.01.23,00:00,1.55540,1.56010,1.55160,1.55650,82459
2012.01.24,00:00,1.55650,1.56250,1.55320,1.56240,76263
2012.01.25,00:00,1.56250,1.56780,1.55330,1.56570,84081
2012.01.26,00:00,1.56560,1.57330,1.56490,1.56880,77611
2012.01.27,00:00,1.56880,1.57390,1.56400,1.57270,84654
2012.01.30,00:00,1.57330,1.57330,1.56540,1.57090,79859
2012.01.31,00:00,1.57090,1.57950,1.56980,1.57580,82022
2012.02.01,00:00,1.57580,1.58820,1.57050,1.58320,85628
2012.02.02,00:00,1.58320,1.58580,1.57950,1.58050,82310
2012.02.03,00:00,1.58040,1.58590,1.57490,1.58110,88852
2012.02.06,00:00,1.58030,1.58400,1.57300,1.58210,85649
2012.02.07,00:00,1.58200,1.59040,1.57880,1.58950,90784
2012.02.08,00:00,1.58950,1.59280,1.57960,1.58170,82615
2012.02.09,00:00,1.58170,1.58840,1.57920,1.58160,89482
2012.02.10,00:00,1.58160,1.58490,1.57290,1.57530,80883
2012.02.13,00:00,1.57770,1.58270,1.57590,1.57650,77837
2012.02.14,00:00,1.57640,1.57690,1.56440,1.56910,85736
2012.02.15,00:00,1.56910,1.57350,1.56700,1.56920,86562
2012.02.16,00:00,1.56910,1.58150,1.56540,1.57980,84281
2012.02.17,00:00,1.57980,1.58610,1.57890,1.58200,74555
2012.02.20,00:00,1.58450,1.58790,1.58260,1.58480,66343
2012.02.21,00:00,1.58480,1.58640,1.57720,1.57770,83891
2012.02.22,00:00,1.57770,1.58130,1.56480,1.56680,76423
2012.02.23,00:00,1.56680,1.57470,1.56490,1.57440,73159
2012.02.24,00:00,1.57430,1.58980,1.57210,1.58680,72850
2012.02.27,00:00,1.58830,1.59000,1.58100,1.58220,73262
2012.02.28,00:00,1.58220,1.59060,1.57990,1.59000,72885
2012.02.29,00:00,1.58990,1.59910,1.58970,1.59150,79870
2012.03.01,00:00,1.59150,1.59750,1.58960,1.59550,75638
2012.03.02,00:00,1.59540,1.59650,1.58230,1.58320,70309
2012.03.05,00:00,1.58350,1.58760,1.57860,1.58630,61238
2012.03.06,00:00,1.58630,1.58810,1.56960,1.57150,64654
2012.03.07,00:00,1.57130,1.57580,1.56970,1.57410,62456
2012.03.08,00:00,1.57400,1.58330,1.57240,1.58290,64761
2012.03.09,00:00,1.58290,1.58310,1.56620,1.56720,66711
2012.03.12,00:00,1.56700,1.56950,1.56030,1.56340,62104
2012.03.13,00:00,1.56340,1.57470,1.56200,1.57070,67016
2012.03.14,00:00,1.57060,1.57430,1.56490,1.56660,68630
2012.03.15,00:00,1.56660,1.57350,1.56330,1.57110,64499
2012.03.16,00:00,1.57110,1.58600,1.56940,1.58400,60225
2012.03.19,00:00,1.58400,1.59130,1.58220,1.58890,58576
2012.03.20,00:00,1.58890,1.58960,1.58300,1.58570,59155
2012.03.21,00:00,1.58560,1.59220,1.58170,1.58640,66767
2012.03.22,00:00,1.58640,1.58910,1.57700,1.58130,67297
2012.03.23,00:00,1.58130,1.59070,1.58050,1.58660,64558
2012.03.26,00:00,1.58670,1.59730,1.58010,1.59690,64148
2012.03.27,00:00,1.59690,1.60000,1.59420,1.59490,59486
2012.03.28,00:00,1.59500,1.59640,1.58420,1.58870,69519
2012.03.29,00:00,1.58860,1.59570,1.58590,1.59560,71647
2012.03.30,00:00,1.59560,1.60360,1.59460,1.60060,73075
2012.04.02,00:00,1.60230,1.60620,1.59790,1.60230,67806
2012.04.03,00:00,1.60220,1.60450,1.58900,1.59110,72254
2012.04.04,00:00,1.59110,1.59160,1.58320,1.58880,75851
2012.04.05,00:00,1.58880,1.59070,1.58040,1.58250,70518
2012.04.06,00:00,1.58250,1.58900,1.58210,1.58650,42879
2012.04.09,00:00,1.58730,1.59130,1.58350,1.58910,46159
2012.04.10,00:00,1.58910,1.59300,1.58090,1.58620,76558
2012.04.11,00:00,1.58610,1.59370,1.58510,1.59040,73028
2012.04.12,00:00,1.59040,1.59840,1.59020,1.59580,71598
2012.04.13,00:00,1.59570,1.59680,1.58400,1.58440,66485
2012.04.16,00:00,1.58460,1.59090,1.58180,1.58980,71388
2012.04.17,00:00,1.58980,1.59690,1.58610,1.59230,63791
2012.04.18,00:00,1.59230,1.60410,1.58940,1.60210,71234
2012.04.19,00:00,1.60210,1.60760,1.60080,1.60510,72046
2012.04.20,00:00,1.60510,1.61490,1.60380,1.61220,66633
2012.04.23,00:00,1.61210,1.61340,1.60760,1.61310,60620
2012.04.24,00:00,1.61300,1.61620,1.61090,1.61430,61190
2012.04.25,00:00,1.61430,1.61810,1.60810,1.61610,65329
2012.04.26,00:00,1.61610,1.62060,1.61580,1.61840,60444
2012.04.27,00:00,1.61840,1.62790,1.61530,1.62600,67794
2012.04.30,00:00,1.62700,1.63000,1.62200,1.62320,57285
2012.05.01,00:00,1.62330,1.62460,1.61860,1.62190,49603
2012.05.02,00:00,1.62190,1.62380,1.61600,1.61990,60802
2012.05.03,00:00,1.61990,1.62150,1.61610,1.61760,60517
2012.05.04,00:00,1.61760,1.62000,1.61410,1.61470,60696
2012.05.07,00:00,1.61360,1.61960,1.61130,1.61890,63408
2012.05.08,00:00,1.61890,1.61980,1.61240,1.61570,67436
2012.05.09,00:00,1.61570,1.61610,1.60680,1.61270,72392
2012.05.10,00:00,1.61270,1.61810,1.60910,1.61440,69674
2012.05.11,00:00,1.61450,1.61520,1.60620,1.60670,67709
2012.05.14,00:00,1.60660,1.61220,1.60510,1.60900,65856
2012.05.15,00:00,1.60900,1.61130,1.59880,1.59920,65469
2012.05.16,00:00,1.59920,1.59980,1.58890,1.59090,75254
2012.05.17,00:00,1.59090,1.59320,1.57850,1.57940,71556
2012.05.18,00:00,1.57950,1.58360,1.57320,1.58140,73667
2012.05.21,00:00,1.57990,1.58400,1.57790,1.58340,72593
2012.05.22,00:00,1.58340,1.58480,1.57400,1.57590,71223
2012.05.23,00:00,1.57590,1.57710,1.56750,1.56900,79686
2012.05.24,00:00,1.56910,1.57260,1.56380,1.56670,77723
2012.05.25,00:00,1.56680,1.56990,1.56300,1.56640,77268
2012.05.28,00:00,1.56920,1.57170,1.56710,1.56810,75420
2012.05.29,00:00,1.56810,1.57160,1.56080,1.56410,86478
2012.05.30,00:00,1.56400,1.56430,1.54740,1.54760,93804
2012.05.31,00:00,1.54770,1.55260,1.53600,1.54040,93295
2012.06.01,00:00,1.54040,1.54360,1.52680,1.53610,96039
